,FECHA_DOC,DESCR,COSTO_UNITARIO
71,2022-01-21,"TER K 3/16""ØX1 1/2"" EXT.7MT MALLA Z/ESPA",0.0
72,2022-01-21,BAN P A/COMUN 200MMx102MM 390W127V T/TOR,52.48
73,2022-01-21,"TUB INOX 7/16""ØX210MM 800W127V ""U""  BUSH",139.82
74,2022-01-21,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",275.5
75,2022-01-21,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",200.3
76,2022-01-24,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,372.67
77,2022-01-24,BOB 8020 CAL. 13 13.7MMØX1.5MTS GAZA30CM,360.5
78,2022-01-24,"BOB 8020 CAL.13 13.7MMØX800MM ""U""GAZ30CM",337.97
79,2022-01-24,CARTUCHO 8MMØ X290MM 500W 220V,113.47
80,2022-01-24,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT,77.13
81,2022-01-24,BAN INOX 103MMØX45MMØX65MM 400W255V ESP,0.0
82,2022-01-24,BAN M/L INOX 210mmØx70mm 650W 255V CABLE,0.0
83,2022-01-24,BAN M/LUNA 210MMØX70MM 1.6KW255V CLA-STD,0.0
84,2022-01-25,"TUB INOX 5/16""Øx120MTS LONG. 1000W 120V.",85.89
85,2022-01-25,"TER J 1/8""Øx115mm LONG EXT. DE 1220mm CL",95.96
86,2022-01-25,"TER J 3/16""Øx8mm EXT. .90CMS CLAVIJA",131.65
87,2022-01-25,TER K 12MMØX22CM EXT8MT MAQ-ESPECIAL,0.0
88,2022-01-25,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,71.25
89,2022-01-26,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,38.96
90,2022-01-26,"TUB INOX 7/16""ØX500MM 3000W240V BUS3/4""",363.33
91,2022-01-26,"CAS INOX 1/4""ØX1 1/4"" 100W 127V EXT.30CM",27.08
